technical_test_score,coding_score,physometric_test_score,experience_years,has_certification,aptitude_score,project_count,10th_score,12th_score,graduation_score,communication_score,resume_ats_score,internship_certification,industry_demand_index,job_role_applied,success
80.06225492885028,65.39155789297875,65.98627008164901,2,0,84.87904037752335,3,7.607223877061331,5.492703687883505,5.580556771254116,82.22043548146073,71.23529201841093,1,7,DevOps Engineer,1
69.22609957330198,70.30733191943331,67.45646566503353,1,0,76.83962518264346,2,9.15190808622313,7.595566039402522,6.176221265431691,87.74563304382458,66.07952217332885,1,7,Product Manager,0
70.38791679418624,71.73285742433359,76.52231740400111,0,0,81.93656536230374,3,5.752122628002153,5.538979213249351,8.206118318079362,78.15274088020516,68.99827231213243,0,9,Backend Developer,0
75.58654373750723,70.37491916190423,66.42371201260414,1,1,74.71332611351883,2,7.980487485368103,7.193873395493196,9.203274497127783,89.29311587207606,85.99123240836734,1,5,Frontend Developer,0
80.6620154836438,83.50533910816748,72.34714279363111,0,0,82.98118549184044,3,9.489849894530828,5.26695885485875,7.200961617896002,75.70656149505285,64.67163731220076,0,5,Frontend Developer,0
69.6552763708556,60.76985083254349,75.35657394058913,1,1,77.41465867438012,2,5.088622649804692,8.739569313740585,5.290515275706076,69.08796421584775,74.08096058569944,1,5,Frontend Developer,0
67.35567647519659,85.07921147626426,76.71079144222342,4,1,85.04700482876925,2,6.501205306238864,9.308590281192492,6.748914754211893,79.24695579259165,50.88840674739512,1,8,DevOps Engineer,1
83.23324509860515,75.42868938858048,69.52815873998287,1,1,91.94402483554563,2,6.174169095729223,5.424619587172877,7.405735043710079,97.89374449095158,80.77293673015693,1,4,Full Stack Developer,1
61.372940485158765,49.97809885990442,84.4919122219751,1,1,91.10931616081986,3,6.028785933981615,8.423126118888081,5.674736944335008,93.77879641818474,65.56570581764964,1,9,Data Engineer,0
81.81946667836979,95.35922644389203,73.21746458382607,3,1,79.16513240449531,1,5.340922272145667,9.293639319886573,6.026891287753439,75.67305539391727,76.14961232046775,0,6,Cloud Engineer,1
74.79978433003885,69.86115758169032,70.63790735872233,2,1,73.9942373240575,0,5.681614506171613,6.654276566642352,7.290529932396839,82.23846689779657,77.94758522471935,1,8,Backend Developer,0
77.65584264455211,100.0,70.49835334764863,4,0,77.2615612524068,5,6.421187208430875,9.135628931255486,7.130420039374075,81.75753651688085,76.61152928661346,1,6,Data Engineer,1
85.2481308938809,100.0,75.6468381144424,2,1,84.45499777894517,0,6.946585348522474,6.174359815916912,9.221165632965745,69.50785230992835,69.66931998638232,1,9,Product Manager,1
71.09670873483438,77.85207103062035,68.58208392712318,4,1,78.62994956140052,0,9.171983573355142,8.029516163033108,5.131910558964007,77.87955687633008,64.05502277573278,1,5,Cloud Engineer,1
72.6907308886389,75.3854846368364,77.2724941249131,3,1,92.31357760139926,3,7.970261776627407,8.862798565436723,8.943786219849976,89.23153350505044,72.0548642756002,1,5,Full Stack Developer,0
60.27300614934684,65.39799936841935,62.2945740551613,2,1,83.55916716007907,2,8.794899024175585,6.329044495275272,6.6873822626694315,93.62759562296256,82.91468889065364,0,4,DevOps Engineer,0
80.4900815229961,74.9010056524301,72.00377553840215,3,0,82.51555672699882,1,9.263606766698125,5.529440537002161,9.153091688926201,77.67044986551466,66.02451303454222,1,8,Cloud Engineer,1
65.10439431297534,66.39931332707505,75.2460614028998,2,1,85.06580248092075,4,5.640157602368669,9.26702749980194,6.446322500792714,60.0,78.57158388423288,1,9,Cloud Engineer,0
78.26602204571577,72.55749785887139,69.16492249984512,1,0,83.27748274997239,0,8.509232777823698,5.255788950427483,5.6543341237512745,80.8037940020917,61.63805149295829,0,5,Backend Developer,0
64.18652315506932,72.16810781497458,77.483129659621,2,1,72.97906114509676,4,8.234731790473383,7.753816143458774,5.158924738676976,79.9477340253718,63.113055665547655,1,8,Cloud Engineer,0
